transaction_id,user_id,date,type,amount,category,description,merchant,location,balance_after
907bfe36-9786-48f8-a4de-82e6e82c7d7b,1,2025-07-27,credit,56959,Income,POS Inflow,"Johnson, Day and Taylor",Whiteview,309052.69986516866
ad66a1bd-9367-4a02-8fdc-6e1bedcb8cb6,1,2025-07-27,credit,113549,Income,POS Inflow,Sanders-Espinoza,New Hannahbury,311757.8877141111
63b4c08b-6b8e-469f-9538-5b0e34f3193c,1,2025-07-31,debit,37314,Shopping,Electronics,"Shah, Smith and Gilmore",Woodsstad,316162.9695363171
033d2bce-575a-4d2c-a5c5-650c8186a576,1,2025-07-31,debit,5434,Transport,Car Maintenance,Short-Garcia,Cynthiamouth,316890.1067689171
620e99d3-3b33-43d8-a69c-d696236c7b87,1,2025-08-01,credit,154849,Income,Loan Disbursement,"Hernandez, Lewis and Perry",Amychester,309674.86398426763
d9acd158-4d34-45c5-85c1-4eb4b27b3d90,1,2025-08-03,debit,17588,Health,Health Insurance,"Burke, Martinez and Riggs",West Amandastad,316826.1396634002
7e8f8095-624c-49b6-b244-45a7b7e58481,1,2025-08-12,debit,27234,Others,Transfer to Friend,Sanchez-Douglas,Port Michelleville,311370.21551852685
2702878b-9f0f-4a8d-8537-9ff6d6d7b3b8,1,2025-08-13,debit,5451,Food,Groceries,Martinez Ltd,New Staciemouth,315272.8191681137
3d67cde9-2834-44c0-94c8-b3b4a911d192,1,2025-08-19,credit,242489,Income,Refund,Arnold and Sons,South Shannonfort,308749.6427935456
d4aac9a3-3ed8-456c-9a09-dfa052828d80,1,2025-08-20,credit,259458,Income,Transfer from Friend,Ramirez Group,Port Steven,310104.35537671373
e4429ebb-da7b-4095-a3d6-2a39c0e3befd,1,2025-08-22,debit,33934,Health,Clinic Visit,Medina-Navarro,South Jeffrey,313154.68418788497
b4fb0eb9-49c1-4de7-bb42-06c5085b15fb,1,2025-08-22,debit,1968,Food,Snacks,Warner-Gibson,West Kristin,315553.8369846793
1e52d770-3f89-4142-be71-6b1415ce6a66,1,2025-08-23,credit,272039,Income,Business Income,"Duran, Obrien and Gibbs",Port Alexandra,312086.06288373494
455ac762-7428-4656-b3ee-4d3b5a104129,1,2025-08-26,credit,115619,Income,POS Inflow,King-Martinez,West David,317406.1497876788
b380c73a-989d-4d4a-a15c-a6664797b2c9,1,2025-08-27,debit,69782,Transport,Ride Hailing,Peters-Black,North John,311992.1044242465
2c8d0e44-e71e-43a6-bf85-bf0ead64b56c,1,2025-08-30,debit,73074,Food,Snacks,"Carroll, Sullivan and Bass",Justinchester,308854.5992799393
53ac2ab9-7467-4cd9-b62f-5e5c53cd6268,1,2025-08-30,credit,269130,Income,Refund,Juarez-Gray,Kingland,312576.75865709124
